glasses,eyesight,sleep_wkdy,sleep_wknd,id,nsibs,samp,race_eth,sex,region,income,res_1980,res_2002,age_bir
0,2,8,8,7712,6,10,2,1,3,5000,5,5,30
0,2,7,6,7748,4,11,1,1,3,3150,16,11,22
1,1,8,8,7750,7,14,1,2,3,12200,11,11,21
1,1,8,8,7754,3,13,2,2,3,4108,11,11,24
0,3,8,8,7789,0,14,1,2,3,20300,11,11,18
0,2,7,7,7794,5,13,2,2,3,8900,11,11,20
0,3,6,8,7795,9,13,2,2,3,15100,11,11,18
0,4,10,8,7799,2,10,2,1,3,6120,5,19,19
0,1,5,5,7804,1,14,1,2,3,12000,11,11,17
0,3,8,9,7805,2,11,1,1,3,8800,11,19,18
0,3,8,8,7830,3,14,1,2,3,15000,11,11,19
1,4,6,7,7841,4,14,1,2,3,13450,11,11,31
1,2,5,5,7852,0,10,2,1,3,9800,11,11,19
1,1,6,7,7867,7,11,1,1,3,12800,11,11,19
1,1,7,8,7903,5,11,1,1,4,1500,11,11,24
0,1,7,7,7909,3,10,2,1,4,21000,3,11,24
0,1,6,8,7923,6,10,2,1,4,5700,11,11,21
0,1,8,8,7937,2,10,2,1,4,2182,11,11,22
0,2,6,6,7938,2,13,2,2,4,2182,11,11,14
1,2,8,8,7943,2,14,1,2,4,0,11,11,27
1,3,7,8,7967,6,14,1,2,4,8215,11,11,16
0,3,7,7,7968,3,14,1,2,4,30000,11,11,18
0,3,5,6,7981,9,13,2,2,4,9000,11,11,21
0,2,7,7,8000,2,13,2,2,4,5500,11,11,23
0,1,7,6,8002,6,11,1,1,4,10120,16,11,20
1,2,7,7,8009,5,11,1,1,4,5500,5,11,18
1,3,5,6,8028,10,13,2,2,4,18844,11,11,15
0,4,4,5,8041,1,10,2,1,4,22000,2,16,22
0,1,8,9,8046,1,11,1,1,4,5400,11,11,31
1,1,4,6,8047,7,13,2,2,4,35000,11,11,19
1,2,7,7,8063,8,11,1,1,4,3056,11,11,19
1,1,7,8,8103,3,14,1,2,4,8130,11,11,16
1,1,8,4,8107,8,11,1,1,4,500,11,5,17
1,2,8,8,8120,4,14,1,2,4,2950,11,11,32
